gene,site_type,group,distance_bin,total_variants,spliceai_ge_0_1_count,spliceai_ge_0_1_percent,spliceai_ge_0_2_count,spliceai_ge_0_2_percent,spliceai_ge_0_5_count,spliceai_ge_0_5_percent,spliceai_ge_0_8_count,spliceai_ge_0_8_percent
BRCA1,acceptor_like,benign,0,26,6,23.08,2,7.69,0,0.00,0,0.00
BRCA1,acceptor_like,benign,1-2,73,13,17.81,4,5.48,4,5.48,2,2.74
BRCA1,acceptor_like,benign,3-5,129,9,6.98,4,3.10,1,0.78,0,0.00
BRCA1,acceptor_like,benign,6-10,224,14,6.25,1,0.45,0,0.00,0,0.00
BRCA1,acceptor_like,benign,11-20,424,25,5.90,9,2.12,2,0.47,0,0.00
BRCA1,acceptor_like,benign,21-50,881,76,8.63,26,2.95,3,0.34,0,0.00
BRCA1,acceptor_like,benign,51-100,605,2,0.33,0,0.00,0,0.00,0,0.00
BRCA1,acceptor_like,benign,>100,4761,9,0.19,0,0.00,0,0.00,0,0.00
BRCA1,acceptor_like,vus,0,29,19,65.52,14,48.28,5,17.24,2,6.90
BRCA1,acceptor_like,vus,1-2,41,25,60.98,22,53.66,20,48.78,20,48.78
BRCA1,acceptor_like,vus,3-5,54,23,42.59,14,25.93,0,0.00,0,0.00
BRCA1,acceptor_like,vus,6-10,79,28,35.44,18,22.78,3,3.80,0,0.00
BRCA1,acceptor_like,vus,11-20,164,63,38.41,36,21.95,6,3.66,0,0.00
BRCA1,acceptor_like,vus,21-50,339,97,28.61,26,7.67,9,2.65,2,0.59
BRCA1,acceptor_like,vus,51-100,152,14,9.21,4,2.63,2,1.32,1,0.66
BRCA1,acceptor_like,vus,>100,72,61,84.72,23,31.94,5,6.94,2,2.78
BRCA1,acceptor_like,pathogenic,0,8,6,75.00,5,62.50,1,12.50,0,0.00
BRCA1,acceptor_like,pathogenic,1-2,12,6,50.00,5,41.67,0,0.00,0,0.00
BRCA1,acceptor_like,pathogenic,3-5,6,5,83.33,4,66.67,0,0.00,0,0.00
BRCA1,acceptor_like,pathogenic,6-10,12,4,33.33,4,33.33,0,0.00,0,0.00
BRCA1,acceptor_like,pathogenic,11-20,42,14,33.33,9,21.43,0,0.00,0,0.00
BRCA1,acceptor_like,pathogenic,21-50,61,22,36.07,15,24.59,5,8.20,0,0.00
BRCA1,acceptor_like,pathogenic,51-100,35,5,14.29,2,5.71,0,0.00,0,0.00
BRCA1,acceptor_like,pathogenic,>100,240,7,2.92,3,1.25,2,0.83,2,0.83
BRCA1,donor_like,benign,0,17,5,29.41,3,17.65,0,0.00,0,0.00
BRCA1,donor_like,benign,1-2,69,11,15.94,4,5.80,1,1.45,0,0.00
BRCA1,donor_like,benign,3-5,129,6,4.65,0,0.00,0,0.00,0,0.00
BRCA1,donor_like,benign,6-10,231,30,12.99,13,5.63,1,0.43,0,0.00
BRCA1,donor_like,benign,11-20,439,45,10.25,25,5.69,8,1.82,7,1.59
BRCA1,donor_like,benign,21-50,971,96,9.89,28,2.88,1,0.10,0,0.00
