removed_criterion,transition,count
BP1,2 Likely Benign -> 3 VUS,34140
PM2_Supporting,2 Likely Benign -> 2 Likely Benign,31270
PM2_Supporting,3 VUS -> 3 VUS,6269
PVS1,5 Pathogenic -> 3 VUS,2257
PM2_Supporting,5 Pathogenic -> 5 Pathogenic,2126
PM5_PTC,5 Pathogenic -> 4 Likely Pathogenic,2011
BS3,2 Likely Benign -> 3 VUS,1860
PM2_Supporting,2 Likely Benign -> 3 VUS,1708
BP4,3 VUS -> 3 VUS,1276
BP7,3 VUS -> 3 VUS,1276
PM2_Supporting,3 VUS -> 2 Likely Benign,1276
PP3,3 VUS -> 3 VUS,854
PS3,3 VUS -> 3 VUS,447
BP1,1 Benign -> 2 Likely Benign,395
BS3,1 Benign -> 2 Likely Benign,391
PM2_Supporting,1 Benign -> 1 Benign,328
BP1,1 Benign -> 3 VUS,203
BP5,1 Benign -> 2 Likely Benign,197
BS3,3 VUS -> 3 VUS,171
PS3,5 Pathogenic -> 5 Pathogenic,135
PM2_Supporting,4 Likely Pathogenic -> 3 VUS,134
PM5_PTC,5 Pathogenic -> 5 Pathogenic,130
BP5,2 Likely Benign -> 2 Likely Benign,126
PP3,2 Likely Benign -> 2 Likely Benign,121
BP4,2 Likely Benign -> 3 VUS,119
BP7,2 Likely Benign -> 3 VUS,119
BP5,1 Benign -> 1 Benign,118
BP1,1 Benign -> 1 Benign,112
PM5_PTC,5 Pathogenic -> 3 VUS,99
BS3,1 Benign -> 1 Benign,89
BS1_Supporting,2 Likely Benign -> 2 Likely Benign,89
PVS1,4 Likely Pathogenic -> 3 VUS,69
PP3,4 Likely Pathogenic -> 3 VUS,66
PS3,4 Likely Pathogenic -> 3 VUS,63
PM2_Supporting,5 Pathogenic -> 4 Likely Pathogenic,53
BS1_Strong,1 Benign -> 2 Likely Benign,52
BA1,1 Benign -> 3 VUS,48
PS3,5 Pathogenic -> 4 Likely Pathogenic,46
BS1_Strong,1 Benign -> 1 Benign,39
PP4,5 Pathogenic -> 3 VUS,38
BS1_Supporting,1 Benign -> 1 Benign,29
BP5,2 Likely Benign -> 3 VUS,25
BP5,3 VUS -> 3 VUS,24
BP5,1 Benign -> 3 VUS,22
BS3,1 Benign -> 3 VUS,15
BS1_Supporting,2 Likely Benign -> 3 VUS,11
BS1_Supporting,3 VUS -> 3 VUS,11
PP3,5 Pathogenic -> 5 Pathogenic,9
PP4,4 Likely Pathogenic -> 3 VUS,9
BP4,2 Likely Benign -> 2 Likely Benign,9
BP7,2 Likely Benign -> 2 Likely Benign,9
BS1_Strong,1 Benign -> 3 VUS,6
PS3,5 Pathogenic -> 3 VUS,6
PP4,3 VUS -> 3 VUS,6
PP3,2 Likely Benign -> 3 VUS,5
PP4,5 Pathogenic -> 4 Likely Pathogenic,5
BP1,2 Likely Benign -> 2 Likely Benign,5
PS1,3 VUS -> 3 VUS,4
PP3,5 Pathogenic -> 4 Likely Pathogenic,3
PM2_Supporting,4 Likely Pathogenic -> 4 Likely Pathogenic,2
PS1,4 Likely Pathogenic -> 3 VUS,2
BS1_Strong,3 VUS -> 3 VUS,2
BP5,3 VUS -> 4 Likely Pathogenic,2
PP3,1 Benign -> 1 Benign,2
BS1_Strong,2 Likely Benign -> 2 Likely Benign,2
PM5_PTC,4 Likely Pathogenic -> 3 VUS,1
BS1_Supporting,5 Pathogenic -> 5 Pathogenic,1
PS3,3 VUS -> 2 Likely Benign,1
PS1,3 VUS -> 2 Likely Benign,1
PS3,2 Likely Benign -> 3 VUS,1
BS3,2 Likely Benign -> 2 Likely Benign,1
BS3,3 VUS -> 4 Likely Pathogenic,1
PVS1,3 VUS -> 2 Likely Benign,1
