bin,relative_start_percent,relative_end_percent,brca1_benign_percent,brca2_benign_percent,diff_benign_percent,brca1_vus_percent,brca2_vus_percent,diff_vus_percent,brca1_pathogenic_percent,brca2_pathogenic_percent,diff_pathogenic_percent,brca1_high_spliceai_percent,brca2_high_spliceai_percent,diff_high_spliceai_percent,brca1_missense_percent,brca2_missense_percent,diff_missense_percent,brca1_nonsense_percent,brca2_nonsense_percent,diff_nonsense_percent,brca1_synonymous_percent,brca2_synonymous_percent,diff_synonymous_percent
1,0.00,0.83,68.79,27.91,40.88,26.24,67.83,-41.59,4.96,4.26,0.70,3.55,3.49,0.06,68.79,72.48,-3.69,3.55,3.88,-0.33,21.28,20.16,1.12
2,0.83,1.67,60.28,57.25,3.03,29.79,36.47,-6.68,9.93,6.27,3.66,5.67,3.53,2.14,73.76,74.12,-0.36,7.09,6.27,0.82,19.15,19.61,-0.46
3,1.67,2.50,52.90,95.35,-42.45,39.86,0.00,39.86,7.25,4.65,2.60,2.17,0.39,1.78,78.99,72.87,6.12,3.62,4.65,-1.03,17.39,22.48,-5.09
4,2.50,3.33,68.09,87.06,-18.97,23.40,7.06,16.34,8.51,5.88,2.63,17.02,3.14,13.88,71.63,71.37,0.26,6.38,5.88,0.50,21.99,22.75,-0.76
5,3.33,4.17,73.19,93.02,-19.83,11.59,4.26,7.33,15.22,2.71,12.51,33.33,3.10,30.23,76.09,76.36,-0.27,5.80,2.71,3.09,18.12,20.93,-2.81
6,4.17,5.00,65.96,88.24,-22.28,25.53,7.84,17.69,8.51,3.92,4.59,27.66,7.06,20.60,75.18,71.76,3.42,4.96,3.92,1.04,19.86,24.31,-4.45
7,5.00,5.83,70.92,64.34,6.58,22.70,31.01,-8.31,6.38,4.65,1.73,23.40,12.02,11.38,75.89,73.26,2.63,4.96,4.65,0.31,19.15,22.09,-2.94
8,5.83,6.67,94.93,80.39,14.54,1.45,18.04,-16.59,3.62,1.57,2.05,0.00,8.24,-8.24,76.81,72.16,4.65,3.62,1.57,2.05,19.57,26.27,-6.70
9,6.67,7.50,92.91,89.92,2.99,2.13,6.98,-4.85,4.96,3.10,1.86,0.71,3.88,-3.17,74.47,78.68,-4.21,4.96,3.10,1.86,20.57,18.22,2.35
10,7.50,8.33,86.23,92.16,-5.93,9.42,1.96,7.46,4.35,5.88,-1.53,9.42,1.57,7.85,75.36,74.12,1.24,4.35,5.88,-1.53,20.29,20.00,0.29
11,8.33,9.17,95.74,93.02,2.72,1.42,1.16,0.26,2.84,5.81,-2.97,1.42,0.78,0.64,68.09,73.64,-5.55,2.84,5.81,-2.97,29.08,20.54,8.54
12,9.17,10.00,88.65,94.12,-5.47,5.67,0.78,4.89,5.67,5.10,0.57,5.67,0.78,4.89,72.34,76.08,-3.74,5.67,5.10,0.57,21.99,18.82,3.17
13,10.00,10.83,72.46,93.80,-21.34,27.54,0.00,27.54,0.00,6.20,-6.20,13.77,0.00,13.77,73.19,74.03,-0.84,5.07,6.20,-1.13,21.74,19.77,1.97
14,10.83,11.67,61.70,94.90,-33.20,38.30,0.00,38.30,0.00,5.10,-5.10,16.31,0.39,15.92,73.05,73.33,-0.28,6.38,5.10,1.28,20.57,21.57,-1.00
15,11.67,12.50,79.71,93.80,-14.09,18.12,0.39,17.73,2.17,5.81,-3.64,13.77,0.39,13.38,74.64,72.48,2.16,3.62,5.81,-2.19,21.74,21.71,0.03
16,12.50,13.33,97.87,94.12,3.75,0.00,0.00,0.00,2.13,5.88,-3.75,0.00,0.00,0.00,80.85,71.37,9.48,2.13,5.88,-3.75,17.02,22.75,-5.73
17,13.33,14.17,66.67,94.57,-27.90,27.66,0.39,27.27,5.67,5.04,0.63,14.18,0.00,14.18,73.76,75.19,-1.43,5.67,5.04,0.63,20.57,19.77,0.80
18,14.17,15.00,81.16,94.12,-12.96,15.22,0.78,14.44,3.62,5.10,-1.48,1.45,0.78,0.67,73.19,70.20,2.99,3.62,5.10,-1.48,23.19,24.71,-1.52
19,15.00,15.83,91.49,94.96,-3.47,0.00,1.16,-1.16,8.51,3.88,4.63,0.00,0.00,0.00,71.63,76.74,-5.11,8.51,3.88,4.63,19.86,19.38,0.48
20,15.83,16.67,94.93,94.12,0.81,0.00,0.00,0.00,5.07,5.88,-0.81,0.00,0.00,0.00,81.88,72.94,8.94,5.07,5.88,-0.81,13.04,21.18,-8.14
