field,value,count
criteria_codes,BP1+PM2_Supporting+PM5_PTC+PVS1,1165
criteria_codes,BP1+BP5+PM2_Supporting+PM5_PTC+PVS1,62
criteria_codes,BP1+PM2_Supporting+PM5_PTC+PP3+PVS1,58
criteria_codes,BP1+BS3+PM2_Supporting+PM5_PTC+PVS1,55
criteria_codes,BS3+PM2_Supporting+PM5_PTC+PS3+PVS1,52
criteria_codes,BP1+PM2_Supporting+PVS1,37
criteria_codes,BS3+PM2_Supporting+PM5_PTC+PP3+PS3+PVS1,27
criteria_codes,BP4+BP7+BS3+PM2_Supporting+PM5_PTC+PVS1,21
criteria_codes,BP1+PM5_PTC+PVS1,20
criteria_codes,BP1+BS1_Supporting+PM2_Supporting+PM5_PTC+PVS1,17
criteria_codes,BP1+BP5+BS3+PM2_Supporting+PM5_PTC+PVS1,16
criteria_codes,BP4+BP7+PM2_Supporting+PM5_PTC+PVS1,16
criteria_codes,BP1+PM2_Supporting+PP3+PVS1,14
criteria_codes,BS3+PM2_Supporting+PP3+PS3,13
criteria_codes,BP1+BS1_Strong+PM2_Supporting+PM5_PTC+PVS1,12
criteria_codes,BA1+BP1+PM2_Supporting+PM5_PTC+PVS1,9
criteria_codes,BS3+PM2_Supporting+PP4+PS3,8
criteria_codes,BP1+BP5+BS1_Supporting+PM2_Supporting+PM5_PTC+PVS1,7
criteria_codes,BS3+PM2_Supporting+PS3+PVS1,7
criteria_codes,BP1+BS3+PM2_Supporting+PM5_PTC+PS3+PVS1,6
criteria_codes,BP1+PM2_Supporting+PM5_PTC+PS3+PVS1,6
criteria_codes,BP4+BP7+BS3+PM2_Supporting+PM5_PTC+PP3+PVS1,6
criteria_codes,BP4+BP5+BP7+BS3+PM2_Supporting+PM5_PTC+PVS1,5
criteria_codes,BS3+PM2_Supporting+PM5_PTC+PP3+PVS1,5
criteria_codes,BS3+PM2_Supporting+PP3+PP4+PS3,5
criteria_codes,BP1+BP5+PM2_Supporting+PM5_PTC+PP3+PVS1,4
criteria_codes,BP1+BP5+BS3+PM2_Supporting+PM5_PTC+PP3+PVS1,3
criteria_codes,BP1+BS3+PM2_Supporting+PM5_PTC+PP3+PVS1,3
criteria_codes,BP1+BS3+PM2_Supporting+PVS1,3
criteria_codes,BP4+BP7+PM2_Supporting+PM5_PTC+PP3+PVS1,3
criteria_codes,BP5+BS3+PM2_Supporting+PS3+PVS1,3
criteria_codes,BP1+BP5+BS1_Strong+BS3+PM2_Supporting+PM5_PTC+PVS1,2
criteria_codes,BP1+BP5+BS1_Strong+PM2_Supporting+PM5_PTC+PVS1,2
criteria_codes,BP1+BP5+BS1_Supporting+BS3+PM2_Supporting+PM5_PTC+PVS1,2
criteria_codes,BP1+BS1_Strong+BS3+PM2_Supporting+PM5_PTC+PVS1,2
criteria_codes,BP1+BS1_Supporting+BS3+PM2_Supporting+PM5_PTC+PP3+PVS1,2
criteria_codes,BP1+BS3+PM2_Supporting+PM5_PTC+PP3+PS3+PVS1,2
criteria_codes,BP1+PM2_Supporting+PP3+PP4,2
criteria_codes,BP4+BP5+BP7+BS1_Strong+BS3+PM2_Supporting+PM5_PTC+PVS1,2
criteria_codes,BP4+BP5+BP7+BS1_Supporting+BS3+PM2_Supporting+PM5_PTC+PVS1,2
criteria_codes,BP4+BP5+BP7+PM2_Supporting+PM5_PTC+PP3+PVS1,2
criteria_codes,BP4+BP7+BS1_Supporting+PM2_Supporting+PM5_PTC+PVS1,2
criteria_codes,BP4+BP7+BS3+PM2_Supporting+PP4+PS3,2
criteria_codes,BP4+BP7+PM2_Supporting+PM5_PTC+PS3+PVS1,2
criteria_codes,BP5+BS3+PM2_Supporting+PM5_PTC+PP3+PS3+PVS1,2
criteria_codes,BP5+BS3+PM2_Supporting+PM5_PTC+PS3+PVS1,2
criteria_codes,BS3+PM2_Supporting+PM5_PTC+PP4+PS1+PS3+PVS1,2
criteria_codes,BS3+PM2_Supporting+PM5_PTC+PVS1,2
criteria_codes,BA1+BP1+BS3+PM2_Supporting+PM5_PTC+PVS1,1
criteria_codes,BA1+BP1+PM2_Supporting+PM5_PTC+PP3+PVS1,1
criteria_codes,BA1+BP4+BP7+PM2_Supporting+PM5_PTC+PVS1,1
criteria_codes,BA1+BS3+PM2_Supporting+PM5_PTC+PS3+PVS1,1
criteria_codes,BP1+BP5+BS1_Strong+BS1_Supporting+PM2_Supporting+PM5_PTC+PVS1,1
criteria_codes,BP1+BP5+BS1_Strong+PM2_Supporting+PM5_PTC+PP3+PVS1,1
criteria_codes,BP1+BP5+BS3+PM2_Supporting+PVS1,1
criteria_codes,BP1+BP5+PM5_PTC+PVS1,1
criteria_codes,BP1+BS1_Supporting+PM2_Supporting+PM5_PTC+PP3+PVS1,1
criteria_codes,BP1+BS1_Supporting+PM2_Supporting+PS3+PVS1,1
criteria_codes,BP1+BS3+PM2_Supporting+PP3+PP4+PS3,1
criteria_codes,BP1+BS3+PM2_Supporting+PP3+PS3,1
criteria_codes,BP1+PM2_Supporting+PM5_PTC+PP3+PP4+PVS1,1
criteria_codes,BP1+PM5_PTC+PS3+PVS1,1
criteria_codes,BP4+BP5+BP7+PM2_Supporting+PM5_PTC+PVS1,1
criteria_codes,BP4+BP7+BS1_Strong+BS1_Supporting+BS3+PM2_Supporting+PM5_PTC+PVS1,1
criteria_codes,BP4+BP7+BS1_Supporting+BS3+PM2_Supporting+PM5_PTC+PVS1,1
criteria_codes,BP4+BP7+BS1_Supporting+BS3+PM2_Supporting+PP3+PP4,1
criteria_codes,BP4+BP7+BS1_Supporting+PM2_Supporting+PM5_PTC+PP3+PVS1,1
criteria_codes,BP4+BP7+BS3+PM2_Supporting+PM5_PTC+PP3+PS3+PVS1,1
criteria_codes,BP4+BP7+BS3+PM2_Supporting+PP3+PS3,1
criteria_codes,BP4+BP7+BS3+PM2_Supporting+PP4+PS1+PS3,1
criteria_codes,BP4+BP7+BS3+PM2_Supporting+PP4+PS3+PVS1,1
criteria_codes,BP4+BP7+PM2_Supporting+PM5_PTC+PP3+PP4+PS3+PVS1,1
criteria_codes,BP4+BP7+PM2_Supporting+PM5_PTC+PP3+PS3+PVS1,1
criteria_codes,BP4+BP7+PM2_Supporting+PM5_PTC+PP4+PS3+PVS1,1
