gene,bin,relative_start_percent,relative_end_percent,cds_start,cds_end,n_variants,benign_count,benign_percent,vus_count,vus_percent,pathogenic_count,pathogenic_percent,high_spliceai_count,high_spliceai_percent,initiation_codon_percent,missense_percent,nonsense_percent,synonymous_percent
BRCA1,1,0.00,0.83,1,46,141,97,68.79,37,26.24,7,4.96,5,3.55,6.38,68.79,3.55,21.28
BRCA1,2,0.83,1.67,47,93,141,85,60.28,42,29.79,14,9.93,8,5.67,0.00,73.76,7.09,19.15
BRCA1,3,1.67,2.50,94,139,138,73,52.90,55,39.86,10,7.25,3,2.17,0.00,78.99,3.62,17.39
BRCA1,4,2.50,3.33,140,186,141,96,68.09,33,23.40,12,8.51,24,17.02,0.00,71.63,6.38,21.99
BRCA1,5,3.33,4.17,187,233,138,101,73.19,16,11.59,21,15.22,46,33.33,0.00,76.09,5.80,18.12
BRCA1,6,4.17,5.00,234,279,141,93,65.96,36,25.53,12,8.51,39,27.66,0.00,75.18,4.96,19.86
BRCA1,7,5.00,5.83,280,326,141,100,70.92,32,22.70,9,6.38,33,23.40,0.00,75.89,4.96,19.15
BRCA1,8,5.83,6.67,327,372,138,131,94.93,2,1.45,5,3.62,0,0.00,0.00,76.81,3.62,19.57
BRCA1,9,6.67,7.50,373,419,141,131,92.91,3,2.13,7,4.96,1,0.71,0.00,74.47,4.96,20.57
BRCA1,10,7.50,8.33,420,466,138,119,86.23,13,9.42,6,4.35,13,9.42,0.00,75.36,4.35,20.29
BRCA1,11,8.33,9.17,467,512,141,135,95.74,2,1.42,4,2.84,2,1.42,0.00,68.09,2.84,29.08
BRCA1,12,9.17,10.00,513,559,141,125,88.65,8,5.67,8,5.67,8,5.67,0.00,72.34,5.67,21.99
BRCA1,13,10.00,10.83,560,605,138,100,72.46,38,27.54,0,0.00,19,13.77,0.00,73.19,5.07,21.74
BRCA1,14,10.83,11.67,606,652,141,87,61.70,54,38.30,0,0.00,23,16.31,0.00,73.05,6.38,20.57
BRCA1,15,11.67,12.50,653,699,138,110,79.71,25,18.12,3,2.17,19,13.77,0.00,74.64,3.62,21.74
BRCA1,16,12.50,13.33,700,745,141,138,97.87,0,0.00,3,2.13,0,0.00,0.00,80.85,2.13,17.02
BRCA1,17,13.33,14.17,746,792,141,94,66.67,39,27.66,8,5.67,20,14.18,0.00,73.76,5.67,20.57
BRCA1,18,14.17,15.00,793,838,138,112,81.16,21,15.22,5,3.62,2,1.45,0.00,73.19,3.62,23.19
BRCA1,19,15.00,15.83,839,885,141,129,91.49,0,0.00,12,8.51,0,0.00,0.00,71.63,8.51,19.86
BRCA1,20,15.83,16.67,886,932,138,131,94.93,0,0.00,7,5.07,0,0.00,0.00,81.88,5.07,13.04
BRCA1,21,16.67,17.50,933,978,141,132,93.62,0,0.00,9,6.38,0,0.00,0.00,73.76,6.38,19.86
BRCA1,22,17.50,18.33,979,1025,141,137,97.16,0,0.00,4,2.84,0,0.00,0.00,73.76,2.84,23.40
BRCA1,23,18.33,19.17,1026,1071,138,128,92.75,0,0.00,10,7.25,0,0.00,0.00,76.09,7.25,16.67
BRCA1,24,19.17,20.00,1072,1118,141,133,94.33,0,0.00,8,5.67,0,0.00,0.00,72.34,5.67,21.99
BRCA1,25,20.00,20.83,1119,1165,138,132,95.65,0,0.00,6,4.35,0,0.00,0.00,77.54,4.35,18.12
BRCA1,26,20.83,21.67,1166,1211,141,134,95.04,0,0.00,7,4.96,0,0.00,0.00,73.76,4.96,21.28
BRCA1,27,21.67,22.50,1212,1258,141,136,96.45,0,0.00,5,3.55,0,0.00,0.00,73.05,3.55,23.40
BRCA1,28,22.50,23.33,1259,1304,138,129,93.48,0,0.00,9,6.52,0,0.00,0.00,71.01,6.52,22.46
