gene,bin,cds_start,cds_end,aa_start,aa_end,total_count,benign_count,vus_count,pathogenic_count,pathogenic_fraction,pathogenic_fraction_no_truncation,pathogenic_fraction_no_splice,pathogenic_fraction_no_functional,residual_pathogenic_fraction,truncation_pathogenic_count,splice_pathogenic_count,functional_pathogenic_count,benign_functional_count,benign_rule_count,high_spliceai_count,pp3_count,pvs1_pm5_count,ps3_ps1_pp4_count,bs3_count,bp_benign_rule_count,pm2_only_or_none_count,near_boundary_count,mixed_position_count,mixed_codon_count,top_structure_feature,truncation_pathogenic_fraction,splice_pathogenic_fraction,functional_pathogenic_fraction,region_category
BRCA1,51,5001,5100,1667,1700,300,163,100,37,0.1233,0.0931,0.0240,0.0000,0.0000,10,31,37,179,8,50,43,10,75,179,8,34,66,60,33,BRCT phosphopeptide-binding region,0.2703,0.8378,1.0000,functional_pathogenic_driven
BRCA1,2,101,200,34,67,300,182,88,30,0.1000,0.0459,0.0602,0.0000,0.0000,17,15,30,191,11,50,44,17,75,191,11,26,66,44,31,RING zinc-binding/E3 ligase region,0.5667,0.5000,1.0000,functional_pathogenic_driven
BRCA1,3,201,300,67,100,300,195,77,28,0.0933,0.0523,0.0193,0.0426,0.0000,13,24,26,201,3,93,84,13,52,201,3,27,96,54,30,RING zinc-binding/E3 ligase region,0.4643,0.8571,0.9286,functional_pathogenic_driven
BRCA1,52,5101,5200,1701,1734,300,190,84,26,0.0867,0.0249,0.0756,0.0000,0.0000,19,4,26,198,10,9,9,19,82,198,10,16,120,51,30,BRCT phosphopeptide-binding region,0.7308,0.1538,1.0000,functional_pathogenic_driven
BRCA2,90,8901,9000,2967,3000,300,10,264,26,0.0867,0.0000,0.0760,0.0887,0.0000,26,7,0,7,59,50,43,26,0,7,59,170,66,27,23,DNA-binding domain / helical-OB-DSS1 region,1.0000,0.2692,0.0000,truncation_driven
BRCA2,86,8501,8600,2834,2867,300,17,258,25,0.0833,0.0000,0.0836,0.0862,0.0000,25,0,0,9,67,1,1,25,1,9,67,200,0,35,25,DNA-binding domain / helical-OB-DSS1 region,1.0000,0.0000,0.0000,truncation_driven
BRCA1,37,3601,3700,1201,1234,300,269,7,24,0.0800,0.0000,0.0805,0.0808,0.0000,24,0,0,3,270,2,2,24,0,3,270,4,0,24,22,none,1.0000,0.0000,0.0000,truncation_driven
BRCA2,91,9001,9100,3001,3034,300,7,270,23,0.0767,0.0036,0.0637,0.0753,0.0000,22,7,1,4,54,49,43,22,4,4,54,177,0,24,23,DNA-binding domain / helical-OB-DSS1 region,0.9565,0.3043,0.0435,truncation_driven
BRCA1,1,1,100,1,34,300,196,82,22,0.0733,0.0211,0.0523,0.0000,0.0000,16,7,22,211,7,13,8,16,59,211,7,26,99,53,31,RING zinc-binding/E3 ligase region,0.7273,0.3182,1.0000,functional_pathogenic_driven
BRCA2,53,5201,5300,1734,1767,300,278,0,22,0.0733,0.0000,0.0733,0.0736,0.0000,22,0,0,1,278,0,0,22,0,1,278,0,0,14,15,BRC repeats / RAD51-binding region,1.0000,0.0000,0.0000,truncation_driven
BRCA2,63,6201,6300,2067,2100,300,278,0,22,0.0733,0.0000,0.0733,0.0738,0.0000,22,0,0,2,278,0,0,22,0,2,278,0,0,16,16,BRC repeats / RAD51-binding region,1.0000,0.0000,0.0000,truncation_driven
BRCA2,69,6801,6900,2267,2300,300,244,34,22,0.0733,0.0000,0.0667,0.0741,0.0000,22,3,0,3,243,15,12,22,0,3,243,23,66,37,23,none,1.0000,0.1364,0.0000,truncation_driven
BRCA2,78,7701,7800,2567,2600,300,6,272,22,0.0733,0.0000,0.0749,0.0772,0.0000,22,2,0,10,44,33,31,22,5,10,44,188,18,25,21,DNA-binding domain / helical-OB-DSS1 region,1.0000,0.0909,0.0000,truncation_driven
BRCA1,41,4001,4100,1334,1367,300,223,56,21,0.0700,0.0000,0.0519,0.0709,0.0000,21,7,0,4,223,30,23,21,0,4,223,32,45,42,27,none,1.0000,0.3333,0.0000,truncation_driven
BRCA1,53,5201,5300,1734,1767,300,176,103,21,0.0700,0.0245,0.0676,0.0000,0.0000,14,1,21,185,8,3,4,14,72,185,8,36,78,50,32,BRCT phosphopeptide-binding region,0.6667,0.0476,1.0000,functional_pathogenic_driven
BRCA2,80,7901,8000,2634,2667,300,13,266,21,0.0700,0.0176,0.0523,0.0573,0.0000,16,6,5,9,58,13,10,16,12,9,58,199,66,30,23,DNA-binding domain / helical-OB-DSS1 region,0.7619,0.2857,0.2381,truncation_driven
BRCA1,54,5301,5400,1767,1800,300,204,76,20,0.0667,0.0141,0.0676,0.0000,0.0000,16,0,20,225,7,4,4,16,46,225,7,23,81,49,31,BRCT phosphopeptide-binding region,0.8000,0.0000,1.0000,functional_pathogenic_driven
BRCA2,26,2501,2600,834,867,300,280,0,20,0.0667,0.0000,0.0667,0.0669,0.0000,20,0,0,1,280,0,0,20,0,1,280,0,0,17,17,none,1.0000,0.0000,0.0000,truncation_driven
BRCA2,42,4101,4200,1367,1400,300,280,0,20,0.0667,0.0000,0.0667,0.0667,0.0000,20,0,0,0,280,0,0,20,0,0,280,0,0,17,18,BRC repeats / RAD51-binding region,1.0000,0.0000,0.0000,truncation_driven
BRCA2,51,5001,5100,1667,1700,300,280,0,20,0.0667,0.0000,0.0667,0.0671,0.0000,20,0,0,2,280,0,0,20,0,2,280,0,0,16,16,BRC repeats / RAD51-binding region,1.0000,0.0000,0.0000,truncation_driven
BRCA2,64,6301,6400,2101,2134,300,280,0,20,0.0667,0.0000,0.0667,0.0671,0.0000,20,0,0,2,280,0,0,20,0,2,280,0,0,16,16,none,1.0000,0.0000,0.0000,truncation_driven
